,Feat,Tfs,corpus_index
1507,direção elétrica,168.0,568.0
1508,regulagem altura,155.0,568.0
1509,bancos couro,145.0,568.0
1510,publicado revenda,71.0,570.0
1511,computador bordo,210.0,572.0
1512,rodas liga,207.0,572.0
1513,liga leve,202.0,572.0
1514,ipva pago,153.0,572.0
1515,único dono,139.0,572.0
1516,regulagem altura,155.0,572.0
1517,ano cor,117.0,572.0
1518,computador bordo,210.0,573.0
1519,rodas liga,207.0,573.0
1520,liga leve,202.0,573.0
1521,ipva pago,153.0,573.0
1522,desembaçador traseiro,187.0,573.0
1523,freio abs,169.0,573.0
1524,único dono,139.0,573.0
1525,bancos couro,145.0,573.0
1526,ano cor,117.0,573.0
1527,ar condicionado,360.0,575.0
1528,computador bordo,210.0,575.0
1529,vidros elétricos,208.0,575.0
1530,rodas liga,207.0,575.0
1531,liga leve,202.0,575.0
1532,desembaçador traseiro,187.0,575.0
1533,freio abs,169.0,575.0
1534,chave reserva,146.0,575.0
1535,travas elétricas,159.0,575.0
1536,direção elétrica,168.0,575.0
1537,regulagem altura,155.0,575.0
