,Feat,Tfs,corpus_index
887,ar condicionado,360.0,327.0
888,vidros elétricos,208.0,327.0
889,direção hidráulica,181.0,327.0
890,ipva pago,153.0,327.0
891,bancos couro,145.0,327.0
892,retrovisores elétricos,138.0,327.0
893,ar condicionado,360.0,328.0
894,bancos couro,145.0,328.0
895,ar condicionado,360.0,329.0
896,computador bordo,210.0,329.0
897,vidros elétricos,208.0,329.0
898,rodas liga,207.0,329.0
899,direção hidráulica,181.0,329.0
900,liga leve,202.0,329.0
901,bancos couro,145.0,329.0
902,chave reserva,146.0,330.0
903,ipva pago,153.0,332.0
904,publicado revenda,71.0,333.0
905,chave reserva,146.0,333.0
906,rodas liga,207.0,335.0
907,liga leve,202.0,335.0
908,ar condicionado,360.0,336.0
909,vidros elétricos,208.0,336.0
910,rodas liga,207.0,336.0
911,direção hidráulica,181.0,336.0
912,liga leve,202.0,336.0
913,bancos couro,145.0,336.0
914,retrovisores elétricos,138.0,336.0
915,pneus novos,95.0,337.0
916,ar condicionado,360.0,338.0
917,computador bordo,210.0,338.0
918,vidros elétricos,208.0,338.0
919,travas elétricas,159.0,338.0
920,direção elétrica,168.0,338.0
921,chave reserva,146.0,339.0
922,chave reserva,146.0,340.0
923,ar condicionado,360.0,341.0
924,direção hidráulica,181.0,341.0
925,air bag,165.0,341.0
926,travas elétricas,159.0,341.0
927,chave reserva,146.0,342.0
928,ipva pago,153.0,343.0
929,desembaçador traseiro,187.0,343.0
930,freio abs,169.0,343.0
931,único dono,139.0,343.0
932,ano cor,117.0,343.0
933,computador bordo,210.0,344.0
934,ipva pago,153.0,344.0
935,desembaçador traseiro,187.0,344.0
936,freio abs,169.0,344.0
937,único dono,139.0,344.0
938,ano cor,117.0,344.0
939,pneus novos,95.0,345.0
940,ar condicionado,360.0,346.0
941,vidros elétricos,208.0,346.0
942,rodas liga,207.0,346.0
943,liga leve,202.0,346.0
944,air bag,165.0,346.0
945,freio abs,169.0,346.0
946,travas elétricas,159.0,346.0
947,direção elétrica,168.0,346.0
948,único dono,139.0,347.0
949,ar condicionado,360.0,348.0
950,rodas liga,207.0,348.0
951,publicado revenda,71.0,348.0
952,liga leve,202.0,348.0
953,único dono,139.0,348.0
954,travas elétricas,159.0,348.0
955,direção elétrica,168.0,348.0
956,bancos couro,145.0,348.0
957,pneus novos,95.0,348.0
958,ar condicionado,360.0,349.0
959,rodas liga,207.0,349.0
960,publicado revenda,71.0,349.0
961,liga leve,202.0,349.0
962,único dono,139.0,349.0
963,travas elétricas,159.0,349.0
964,direção elétrica,168.0,349.0
965,bancos couro,145.0,349.0
966,pneus novos,95.0,349.0
967,único dono,139.0,351.0
968,único dono,139.0,352.0
969,ar condicionado,360.0,353.0
970,computador bordo,210.0,353.0
971,rodas liga,207.0,353.0
972,liga leve,202.0,353.0
973,ipva pago,153.0,353.0
974,desembaçador traseiro,187.0,353.0
975,freio abs,169.0,353.0
976,regulagem altura,155.0,353.0
977,bancos couro,145.0,353.0
978,ano cor,117.0,353.0
979,retrovisores elétricos,138.0,353.0
980,publicado revenda,71.0,354.0
981,direção hidráulica,181.0,358.0
982,pneus novos,95.0,358.0
983,ipva pago,153.0,359.0
984,desembaçador traseiro,187.0,359.0
985,freio abs,169.0,359.0
986,único dono,139.0,359.0
987,ano cor,117.0,359.0
988,ar condicionado,360.0,360.0
989,vidros elétricos,208.0,360.0
990,direção hidráulica,181.0,360.0
991,ipva pago,153.0,360.0
992,air bag,165.0,360.0
993,freio abs,169.0,360.0
994,único dono,139.0,360.0
995,travas elétricas,159.0,360.0
996,direção elétrica,168.0,360.0
997,regulagem altura,155.0,360.0
998,computador bordo,210.0,363.0
999,ipva pago,153.0,363.0
1000,desembaçador traseiro,187.0,363.0
1001,freio abs,169.0,363.0
1002,único dono,139.0,363.0
1003,regulagem altura,155.0,363.0
1004,ano cor,117.0,363.0
1005,ar condicionado,360.0,365.0
1006,computador bordo,210.0,365.0
1007,vidros elétricos,208.0,365.0
1008,rodas liga,207.0,365.0
1009,publicado revenda,71.0,365.0
1010,direção hidráulica,181.0,365.0
1011,liga leve,202.0,365.0
1012,desembaçador traseiro,187.0,365.0
1013,regulagem altura,155.0,365.0
1014,bancos couro,145.0,365.0
1015,pneus novos,95.0,365.0
1016,computador bordo,210.0,366.0
1017,ipva pago,153.0,366.0
1018,desembaçador traseiro,187.0,366.0
1019,freio abs,169.0,366.0
1020,direção elétrica,168.0,366.0
1021,regulagem altura,155.0,366.0
1022,ano cor,117.0,366.0
1023,único dono,139.0,369.0
1024,direção elétrica,168.0,369.0
1025,pneus novos,95.0,371.0
1026,chave reserva,146.0,372.0
1027,único dono,139.0,373.0
1028,chave reserva,146.0,375.0
1029,único dono,139.0,375.0
1030,direção elétrica,168.0,375.0
1031,pneus novos,95.0,375.0
1032,ar condicionado,360.0,377.0
